Wavn(1/cm)	Abs I	Rel I	Width	Treshold	Shoulder
2060.1344	0.869	0.080	0.497	22.999533	0
2064.6311	0.851	0.098	0.510	28.380291	0
2069.0665	0.832	0.117	0.531	34.891468	0
2073.5198	0.800	0.147	0.533	44.123871	0
2077.8765	0.781	0.163	0.541	49.856762	0
2082.2431	0.758	0.190	0.502	57.855145	0
2086.5627	0.741	0.206	0.509	62.653923	0
2090.8460	0.721	0.227	0.544	68.346504	0
2095.0877	0.694	0.255	0.519	77.620941	0
2099.3270	0.685	0.261	0.532	79.056068	0
2103.5044	0.659	0.286	0.540	87.460503	0
2107.6502	0.653	0.292	0.541	89.078087	0
2111.7700	0.653	0.292	0.540	88.906319	0
2115.8565	0.645	0.300	0.546	91.812294	0
2119.9112	0.640	0.322	0.526	93.669670	0
2123.9447	0.644	0.297	0.542	91.329094	0
2127.9094	0.657	0.287	0.543	88.241341	0
2131.8795	0.682	0.262	0.540	80.421890	0
2135.7886	0.713	0.228	0.513	69.765015	0
2139.6637	0.783	0.161	0.537	49.525810	0
2147.3342	0.781	0.163	0.517	50.265709	0
2151.0936	0.718	0.221	0.540	67.806580	0
2154.8404	0.670	0.269	0.520	82.611313	0
2158.5354	0.647	0.294	0.539	90.326241	0
2162.2130	0.637	0.307	0.553	93.768295	0
2165.8513	0.629	0.316	0.554	96.940819	0
2169.4485	0.627	0.314	0.556	96.442780	0
2172.9960	0.626	0.314	0.544	96.107147	0
2176.5303	0.621	0.575	0.542	137.775070	0
2180.0103	0.643	0.301	0.543	91.516853	0
2183.4785	0.652	0.291	0.539	88.960663	0
2186.8915	0.662	0.282	0.529	85.805542	0
2190.2656	0.683	0.261	0.525	79.258003	0
2193.6110	0.708	0.237	0.524	71.606575	0
2196.9092	0.736	0.208	0.541	63.532524	0
2200.1763	0.748	0.199	0.508	59.674133	0
2203.4065	0.778	0.167	0.531	50.381283	0
2206.6129	0.799	0.145	0.516	43.666870	0
2209.7675	0.821	0.128	0.506	38.248188	0
2212.8808	0.843	0.102	0.512	30.628601	0
2215.9437	0.864	0.084	0.534	24.405573	0
